Product Names,List Price,Sale Price,Difference in Price
Travel Cosmetic Makeup Toiletry Case Portable Wash Organizer Storage Pouch Bag,12.5,6.25,6.25
Rayne Mirrors American Made Rayne Stitched Black Leather Blackboard/Chalkboard,641.14,474.82,166.32
Country Brook Design 3/4 Inch Nylon Dog Leash (Various Colors & Lengths),10.95,8.95,2.0
Rayne Mirrors American Made Rayne Stitched Black Leather Blackboard/Chalkboard,551.5,408.42,143.07999
Boss (hub) Boss 0551 Eyeglasses 0INX 58 Black Ruthenium,272.8,158.11,114.68999
Insurrection by Reyane 3.3 oz EDT for women,45.0,21.49,23.51
Compression Anti - Embolism Stocking 18 Knee High Closed Toe Compression Stocking White&#44; Large,25.43,18.74,6.6900005
Buckle-Down PC-W30348-NM Cameroon Flags Plastic Clip Collar,24.99,19.99,5.0
Enchanted Shimmer White Ruffles Rose Pink Birthstone Girls Headband New Born-Child,73.0,49.99,23.009998
Unique BargainsTravel Makeup Glass Cylinder Shape Liquid Perfume Spray Bottle Clear 5ml 4 PCS,18.99,9.39,9.599999
Cottcuboaba Unisex Bear bathing Softe baby bath towel,9.15,6.1,3.0499997
"Efavormart Pack of 5 Premium 17"" x 17"" Washable Polyester Napkins Great for Wedding Party Restaurant Dinner Parties",9.55,7.55,2.0
Country Brook Design Economy Nylon Dog Collars(Various sizes & colors available),8.95,6.95,2.0
LAMINATED POSTER Dog Imprint Dog German Shepherd Alsatian Dog's Paw Poster Print 24 x 36,16.99,15.29,1.6999998
"Toiletry Travel Cosmetic Makeup Case Wash Organizer Storage Pouch, Blue Flower",9.99,4.99,5.0
Sigvaris Secure 553 Women's Closed Toe Thigh Highs w/Silicone Band - 30-40 mmHg,131.95,105.56,26.39
Fantasy Fields Crackled Rose Kids Table,140.44,100.18,40.260002
Atkinsons 'Loto & Loto' Eau De Toilette 0.53oz/15ml Spray Atomizer New,31.99,11.99,20.0
"L'Oreal Paris Colour Riche Lip Gloss, Soft Wine",7.12,6.4,0.7199998
"Toiletry Travel Cosmetic Makeup Case Wash Organizer Storage Pouch, Blue Flower",14.99,7.24,7.75
"Buckle-Down ""Lucky Black White"" Martingale Dog Collar",29.99,24.99,5.0
Unique Bargains 12mm Width 98ft Length Polyimide BGA High Temperature Heat Resistant Tape,14.99,7.12,7.87
20mm Dia. Polyolefin 2:1 Heat Shrink Tube Sleeving Wrap Wire 3.7m Long,9.99,4.83,5.16
Boss (hub) Boss 0551 Eyeglasses 0INX 58 Black Ruthenium,132.0,76.55,55.449997
20 LEDs Touch Screen Folding Toilet Lighted Makeup Mirror,80.99,22.99,58.0
"Ishow Hair 7A Brazilian Water Wave Virgin Hair 3 Bundles with Baby Hair with Closure Brazilian Virgin Hair, 20""20""20""with 18""",166.73,86.7,80.03
Mosunx Knit Dog Hoodie Sweater Pet Cat Puppy Coat Small Pet Dog Warm Costume Apparel,18.89,17.0,1.8899994
Buckle Down DC Comics Pet Dog or Cat Leash,29.99,24.99,5.0
"Efavormart Pack of 5 Premium 17"" x 17"" Washable Polyester Napkins Great for Wedding Party Restaurant Dinner Parties",3.3,2.06,1.24
Children's Decoration Cute Butterfly Bat Baby Rattles Doll Baby Stroller Hanging Bed Hanging Toy Baby Infant Rattles,11.36,5.98,5.3799996
PowerStar--FRESH New 12V 5AH Battery for UB1250 D5741 Home Security Alarm,25.21,21.92,3.289999
Student Plastic Floral Pattern 0.5mm Needle Tip Gel Pen Assorted Color 6 Pcs,13.99,6.69,7.2999997
"Unique Pretzel Extra Dark Splits, 11 oz (Pack of 12)",44.31,35.92,8.390003
"Ishow 7A Brazilian Loose Wave Frontal Closure with Bundles 13x4 Ear to Ear Lace Frontal Closure with 3 Bundles, 12""14""16"" with 10""",313.55,166.18,147.37
"L'Oreal Paris Colour Riche Lip Gloss, Soft Wine",6.99,5.97,1.02
Aarco Products 120D-48M-242-854 Combination Tackboard at Each End&#44; Buttercup - 4 x 8 ft.,493.09,354.25,138.84
Sosoft 20 - 30 Knee High Brocade Closed Toe Compression Stocking Black&#44; XL,95.96,70.98,24.979996
"Toiletry Travel Cosmetic Makeup Case Wash Organizer Storage Pouch, Blue Flower",14.99,7.37,7.62
New Way 1120 - Crewneck Your Job Could Be Worse Toilet Paper Sweatshirt 4XL Light Pink,26.39,22.43,3.959999
Alno Inc Classic Traditional 24'' Grab Bar,209.95,167.96,41.98999
Boss (hub) Boss 0551 Eyeglasses 0INX 58 Black Ruthenium,246.4,139.89,106.509995
"Ishow Hair 7A Brazilian Water Wave Virgin Hair 3 Bundles with Baby Hair with Closure Brazilian Virgin Hair, 20""20""20""with 18""",237.11,125.67,111.44
"Funky Jesters 36-40 Inch Hawaiian Assorted Leis, 55 Count",39.99,23.99,16.000002
"Purity Home 100% Combed Compact Cotton Sheet Set,3 Piece Set, Bestselling TWIN SHEETS PERCALE Weave,Garment-Washed,Cool & Breathable, Smooth & Soft, Fitted Sheet Fits Up to 16"" Deep Pocket, KHAKI",33.0,29.7,3.2999992
"Yosoo 32 Types 2018 World Cup Sticker National Flag Sticker Body Face Arm Temporary Waterproof Tattoo,Flag tattoo sticker, World cup sticker",7.49,4.99,2.5
2Pcs 30mm Width 4mm Thickness EVA Single Side Sponge Foam Tape 3 Meters Length,21.99,10.96,11.03
"Ishow 7A Brazilian Loose Wave Frontal Closure with Bundles 13x4 Ear to Ear Lace Frontal Closure with 3 Bundles, 12""14""16"" with 10""",339.71,180.05,159.65999
Buckle Down Buckle-Down Pet Plastic Clip Dog Collar,24.99,19.99,5.0
Studded Dragon Hoodies Pink XXL - 18,22.61,17.29,5.3199997
"Buckle-Down Pet Leash - Buffalo Plaid Black Green - 4 Feet Long - 1 2"" Wide",29.99,24.99,5.0
Enchanted Shimmer White Ruffles Rose Pink Birthstone Girls Headband New Born-Child,67.0,45.99,21.009998
Buckle Down Buckle-Down Pet Dog or Cat Leash,24.99,19.99,5.0
Skull Crossbones Screen Print Soft Mesh Harness Blue Medium,26.97,19.84,7.129999
17 Stories Modern Wall Mounted Bulletin Board,908.0,419.99,488.01
"Ishow Malaysian Virgin Hair Straight 3Bundles Malaysian Human Hair, 20""20""20""",86.96,46.09,40.87
"Ishow 7A Brazilian Loose Wave Frontal Closure with Bundles 13x4 Ear to Ear Lace Frontal Closure with 3 Bundles, 12""14""16"" with 10""",167.51,88.78,78.729996
Bulk Buys PB997-72 Trick or Treat Round Party Plate Set - 72 Piece,56.92,42.06,14.859997
17 Stories Modern Wall Mounted Bulletin Board,748.0,259.99,488.01
"Gold Medal Popcorn Boxes, 5.5 oz. (200 ct.) - (Popcorn Packaging)",102.39,92.15,10.239998
"Toiletry Travel Cosmetic Makeup Case Wash Organizer Storage Pouch, Blue Flower",16.99,8.46,8.53
"American White Cross Tricot Adhesive Strips Bandages 3/4"" x 3"" 200-Ct",15.24,12.95,2.29
Boss (hub) Boss 0551 Eyeglasses 0INX 58 Black Ruthenium,260.0,103.97,156.03
Buckle Down Buckle-Down Pet Seatbelt Buckle Dog Collar,34.99,23.95,11.040001
20 LEDs Touch Screen Folding Toilet Lighted Makeup Mirror,107.45,21.49,85.96
Buckle-Down PC-W30348-NM Cameroon Flags Plastic Clip Collar,29.99,24.99,5.0
Berry Plastics HR404822N PEC 12-16 gal 23 x 32 ft. 6 MicronCan Liner On A Roll&#44; Black,69.21,51.17,18.04
Country Brook Design Premium Puppy Picnic Ribbon Dog Collar,17.95,16.95,1.0
Panda Superstore PS-BEA11057981-SUE01437 4.13 x 2.56 in. Womens Plastic Beautiful Hair Clips&#44; Purple,38.69,31.64,7.049999
"Toiletry Travel Cosmetic Makeup Case Wash Organizer Storage Pouch, Blue Flower",13.99,6.99,7.0
"Welch Allyn Blood Pressure Cuff, Adult Long, Soft~Female Locking",243.2,180.05,63.149994
"Red Plastic Party Tablecloth, 108 x 54in, 2ct",4.99,4.29,0.6999998
20 LEDs Touch Screen Folding Toilet Lighted Makeup Mirror,83.99,23.99,60.0
New Way 1120 - Crewneck Your Job Could Be Worse Toilet Paper Sweatshirt 4XL Light Pink,25.29,21.5,3.790001
Buckle Down DC Comics Pet Dog or Cat Leash,19.99,14.99,5.0
Unique Bargains Pet Dog Puppy Rose Lace Decor Princess Wedding Dress Skirt Gold Tone Size M,26.99,13.32,13.67
"L'Oreal Paris Colour Riche Lip Gloss, Soft Wine",6.99,4.7,2.29
Buckle Down Buckle-Down Pet Plastic Clip Dog Collar,29.99,24.99,5.0
Gemstone Globe Bright Silver Keychain - Marine Blue Ocean,17.77,13.06,4.71
17 Stories Modern Wall Mounted Bulletin Board,728.0,239.99,488.01
Patch Magic Play to Win Bumper,49.99,46.99,3.0
"Ivory Clean Aloe Body Wash, 12 oz",1.47,0.75,0.72
Pull-Ups Girls' Learning Designs Training Pants (Choose Pant Size and Count),23.25,19.97,3.2800007
Thumbprintz On My Own Large Rectangle Pet Bed,99.95,57.49,42.459995
"Dual Pencil Sharpener single pack, Dual Pencil Sharpener w/ removable cover for standard &amp; jumbo pencils &amp; crayons. By Staples",14.63,10.09,4.54
"Yosoo 32 Types 2018 World Cup Sticker National Flag Sticker Body Face Arm Temporary Waterproof Tattoo,Flag tattoo sticker, World cup sticker",7.68,5.12,2.56
"Pure Co USDA Organic Apple Cider Vinegar (Powder) with Black Pepper + Cayenne for Better Absorption & Metabolism Boost - Detox, Diet & Weight Loss ACV Supplement - 50 Servings: No Capsule Pills",24.95,14.97,9.9800005
"Efavormart Pack of 5 Premium 17"" x 17"" Washable Polyester Napkins Great for Wedding Party Restaurant Dinner Parties",7.58,2.06,5.52
"Jetpik Water Cup Reservoir, Blue",19.99,13.88,6.1099997
"Ishow Malaysian Virgin Hair Straight 3Bundles Malaysian Human Hair, 20""20""20""",239.14,126.74,112.4
Alno Inc Classic Traditional 24'' Grab Bar,229.95,187.96,41.98999
ECO FRIENDLY 12pc AA Heavy Duty 0% MERCURY 0% LEAD 0% CADMIUM Battery LR6 E91,6.99,6.5,0.48999977
"Purity Home 100% Combed Compact Cotton Sheet Set,3 Piece Set, Bestselling TWIN SHEETS PERCALE Weave,Garment-Washed,Cool & Breathable, Smooth & Soft, Fitted Sheet Fits Up to 16"" Deep Pocket, KHAKI",37.23,32.4,4.829998
"Ishow 7A Brazilian Loose Wave Frontal Closure with Bundles 13x4 Ear to Ear Lace Frontal Closure with 3 Bundles, 12""14""16"" with 10""",145.71,77.23,68.48
Doco DCS005-10XL Double D-Ring Dog Neck Collar&#44; Olive Green - Extra Large,26.57,16.76,9.809999
"Brown Kraft Rigid Stay-Flat Bending/Crush Proof Envelopes, 9.75"" x 12.25"" with Tear Tab-28pt, Self Seal Cardboard Mailers 200 Count",96.95,82.41,14.539993
Carrera CA 8823 Eyeglasses 0R81 Matte Ruthenium,219.12,122.23,96.88999
Corrugated Boxes SHP17176,89.01,75.66,13.349998
Cincinnati Pet Hooded Crewneck Type - Small,32.49,24.99,7.500002
"Welch Allyn Blood Pressure Cuff, Adult Long, Soft~Female Locking",242.15,179.27,62.87999
Doco DCS005-10XL Double D-Ring Dog Neck Collar&#44; Olive Green - Extra Large,23.13,17.69,5.4399986
"Efavormart Pack of 5 Premium 17"" x 17"" Washable Polyester Napkins Great for Wedding Party Restaurant Dinner Parties",6.06,3.79,2.27
Raindrops Girls Baby Satin Christening Embroidered Girl Bib,23.75,15.99,7.76
"Unique Bargains Foil Heart Design Balloon Wedding Birthday Celebration Decor Red 30""",11.99,5.99,6.0
"Red Plastic Party Tablecloth, 108 x 54in, 2ct",4.99,4.29,0.6999998
"Purity Home 100% Combed Compact Cotton Sheet Set,3 Piece Set, Bestselling TWIN SHEETS PERCALE Weave,Garment-Washed,Cool & Breathable, Smooth & Soft, Fitted Sheet Fits Up to 16"" Deep Pocket, KHAKI",66.14,42.0,24.14
Enchanted Shimmer White Ruffles Rose Pink Birthstone Girls Headband New Born-Child,79.0,53.99,25.009998
Alno Inc Classic Traditional 24'' Grab Bar,225.95,183.96,41.98999
17 Stories Modern Wall Mounted Bulletin Board,852.0,363.99,488.01
17 Stories Modern Wall Mounted Bulletin Board,988.0,499.99,488.01
"Purity Home 100% Combed Compact Cotton Sheet Set,3 Piece Set, Bestselling TWIN SHEETS PERCALE Weave,Garment-Washed,Cool & Breathable, Smooth & Soft, Fitted Sheet Fits Up to 16"" Deep Pocket, KHAKI",42.68,37.05,5.630001
New Way 1120 - Crewneck Your Job Could Be Worse Toilet Paper Sweatshirt 4XL Light Pink,29.69,25.24,4.450001
"Yosoo 32 Types 2018 World Cup Sticker National Flag Sticker Body Face Arm Temporary Waterproof Tattoo,Flag tattoo sticker, World cup sticker",7.7,5.13,2.5699997
"Ishow 7A Brazilian Loose Wave Frontal Closure with Bundles 13x4 Ear to Ear Lace Frontal Closure with 3 Bundles, 12""14""16"" with 10""",136.99,72.6,64.39001
"Ishow 7A Brazilian Loose Wave Frontal Closure with Bundles 13x4 Ear to Ear Lace Frontal Closure with 3 Bundles, 12""14""16"" with 10""",388.1,205.69,182.41
"Buckle-Down Pet Leash - Buffalo Plaid Black Green - 4 Feet Long - 1 2"" Wide",19.99,14.99,5.0
BirdDog CC-50-RB4 13.12 ft. Brilliant Custom Cut 120V SMD-5050 LED Strip Plant Grow Light,93.46,69.13,24.330002
"Ishow 7A Brazilian Loose Wave Frontal Closure with Bundles 13x4 Ear to Ear Lace Frontal Closure with 3 Bundles, 12""14""16"" with 10""",368.48,195.29,173.19002
17 Stories Modern Wall Mounted Bulletin Board,715.0,226.99,488.01
The Party Continues 50th Birthday Confetti - Party Supplies,7.98,3.74,4.24
"Buckle-Down ""Lucky Black White"" Martingale Dog Collar",34.99,29.99,5.000002
10m Universal Car Door Edge Guards Trim Molding Protection Strip Scratch Protector,18.5,11.56,6.9399996
"Yosoo 32 Types 2018 World Cup Sticker National Flag Sticker Body Face Arm Temporary Waterproof Tattoo,Flag tattoo sticker, World cup sticker",7.76,5.17,2.5900002
Buckle Down Buckle-Down Pet Dog or Cat Leash,19.99,14.99,5.0
New Way 1120 - Crewneck Your Job Could Be Worse Toilet Paper Sweatshirt 4XL Light Pink,27.49,23.37,4.119999
"Efavormart Pack of 5 Premium 17"" x 17"" Washable Polyester Napkins Great for Wedding Party Restaurant Dinner Parties",6.26,1.47,4.79
"Toiletry Travel Cosmetic Makeup Case Wash Organizer Storage Pouch, Blue Flower",14.99,7.38,7.6099997
Eros F01-TB217 Hologram & Printed Word Strip - 15 per Pack - Case of 48,151.75,112.31,39.440002
Buckle-Down Martingale Dog Collar - Mohawk Skulls - NO Star,34.99,29.99,5.000002
